Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
22976;"Калькулятор""Citizen LC-310 N""";157,25 руб.;2,00 шт.;314,50 руб.;236,44 руб.;78,06 руб.;33,01%
;ZОтчет 19/893;144,50 руб.;1,00 шт.;144,50 руб.;118,22 руб.;26,28 руб.;22,23%
;ZОтчет 5/1531/15782;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
167683;"Калькулятор""Citizen SDC-011S"" 8разр.,дв.пит.";292,67 руб.;9,00 шт.;2 634,00 руб.;1 413,64 руб.;1 220,36 руб.;86,33%
;ZОтчет 8/1481/10017;300,00 руб.;1,00 шт.;300,00 руб.;154,82 руб.;145,18 руб.;93,77%
;ZОтчет 11/1564;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 18/1239;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 10/1126;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 16/1515;300,00 руб.;1,00 шт.;300,00 руб.;159,66 руб.;140,34 руб.;87,9%
;ZОтчет 18/1248;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
;ZОтчет 51#00000000000003138;234,00 руб.;1,00 шт.;234,00 руб.;158,86 руб.;75,14 руб.;47,3%
;ZОтчет 15/1531;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 18/1258;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
179022;"Калькулятор""Citizen SDC-022S"" 10разр.,дв.пит.";300,00 руб.;5,00 шт.;1 500,00 руб.;765,75 руб.;734,25 руб.;95,89%
