Отчет о продажах за период;;;;;;;
с 16.09.16 по 28.10.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-1 480,00 руб.;-879,51 руб.;-600,49 руб.;68,28%
;ZОтчет 13/1529;300,00 руб.;1,00 шт.;300,00 руб.;162,01 руб.;137,99 руб.;85,17%
;ZОтчет 2/1583;300,00 руб.;1,00 шт.;300,00 руб.;164,41 руб.;135,59 руб.;82,47%
179023;"Калькулятор""Citizen SDC-444S"" 12разр. дв.пит.";691,25 руб.;16,00 шт.;11 060,00 руб.;6 698,03 руб.;4 361,97 руб.;65,12%
;ZОтчет 2/1556;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 2/1561;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 12/1528;700,00 руб.;1,00 шт.;700,00 руб.;366,39 руб.;333,61 руб.;91,05%
;ZОтчет 10/1137;700,00 руб.;1,00 шт.;700,00 руб.;425,23 руб.;274,77 руб.;64,62%
;ZОтчет 11/1592;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 15/1535;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 11/1594;700,00 руб.;1,00 шт.;700,00 руб.;433,60 руб.;266,40 руб.;61,44%
;ZОтчет 19/903;595,00 руб.;1,00 шт.;595,00 руб.;425,23 руб.;169,77 руб.;39,92%
;ZОтчет 20/1582;700,00 руб.;1,00 шт.;700,00 руб.;345,00 руб.;355,00 руб.;102,9%
;ZОтчет 5/1548/16083;700,00 руб.;1,00 шт.;700,00 руб.;433,60 руб.;266,40 руб.;61,44%
;ZОтчет 11/1609;700,00 руб.;1,00 шт.;700,00 руб.;433,60 руб.;266,40 руб.;61,44%
;ZОтчет 13/1538;700,00 руб.;1,00 шт.;700,00 руб.;425,23 руб.;274,77 руб.;64,62%
;ZОтчет 15/1552;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 19/916;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 8/1521/10105;665,00 руб.;1,00 шт.;665,00 руб.;425,23 руб.;239,77 руб.;56,39%
;ZОтчет 19/922;700,00 руб.;1,00 шт.;700,00 руб.;433,60 руб.;266,40 руб.;61,44%
179024;"Калькулятор""Citizen SDC-554S"" 14разр.,дв.пит.";786,67 руб.;3,00 шт.;2 360,00 руб.;1 477,64 руб.;882,36 руб.;59,71%
;ZОтчет 2/1568;800,00 руб.;2,00 шт.;1 600,00 руб.;975,29 руб.;624,71 руб.;64,05%
;ZОтчет 2/1574;760,00 руб.;1,00 шт.;760,00 руб.;502,35 руб.;257,65 руб.;51,29%
85314;"Калькулятор""Citizen SDC-620 II"" 12разр.";625,75 руб.;6,00 шт.;3 754,50 руб.;1 951,60 руб.;1 802,90 руб.;92,38%
;ZОтчет 2/1556;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
;ZОтчет 20/1559;630,00 руб.;1,00 шт.;630,00 руб.;307,37 руб.;322,63 руб.;104,96%
;ZОтчет 2/1558;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
;ZОтчет 51#00000000000003139;604,50 руб.;1,00 шт.;604,50 руб.;387,45 руб.;217,05 руб.;56,02%
;ZОтчет 10/1134;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
;ZОтчет 2/1578;630,00 руб.;1,00 шт.;630,00 руб.;307,37 руб.;322,63 руб.;104,96%
84576;"Калькулятор""Citizen SDC-640 II"" 14разр.";792,00 руб.;5,00 шт.;3 960,00 руб.;2 243,66 руб.;1 716,34 руб.;76,5%
;ZОтчет 12/1523;800,00 руб.;1,00 шт.;800,00 руб.;339,15 руб.;460,85 руб.;135,88%
;ZОтчет 15/1528;800,00 руб.;1,00 шт.;800,00 руб.;469,46 руб.;330,54 руб.;70,41%
;ZОтчет 15/1529;800,00 руб.;1,00 шт.;800,00 руб.;496,13 руб.;303,87 руб.;61,25%
;ZОтчет 5/1531/15782;800,00 руб.;1,00 шт.;800,00 руб.;469,46 руб.;330,54 руб.;70,41%
;ZОтчет 19/919;760,00 руб.;1,00 шт.;760,00 руб.;469,46 руб.;290,54 руб.;61,89%
19834;"Калькулятор""Citizen SDC-664S"" 16разр.";760,00 руб.;3,00 шт.;2 280,00 руб.;1 472,94 руб.;807,06 руб.;54,79%
;ZОтчет 16/1517;680,00 руб.;1,00 шт.;680,00 руб.;522,62 руб.;157,38 руб.;30,11%
;ZОтчет 4/1548;800,00 руб.;1,00 шт.;800,00 руб.;511,30 руб.;288,70 руб.;56,46%
;ZОтчет 12/1546;800,00 руб.;1,00 шт.;800,00 руб.;439,02 руб.;360,98 руб.;82,22%
84545;"Калькулятор""Citizen SDC-805BN"" 8разр.";389,05 руб.;19,00 шт.;7 392,00 руб.;4 194,66 руб.;3 197,34 руб.;76,22%
;ZОтчет 19/882;400,00 руб.;1,00 шт.;400,00 руб.;185,72 руб.;214,28 руб.;115,38%
;ZОтчет 16/1520;400,00 руб.;1,00 шт.;400,00 руб.;192,27 руб.;207,73 руб.;108,04%
;ZОтчет 51#00000000000003137;312,00 руб.;1,00 шт.;312,00 руб.;196,27 руб.;115,73 руб.;58,96%
;ZОтчет 4/1537;400,00 руб.;1,00 шт.;400,00 руб.;196,27 руб.;203,73 руб.;103,8%
;ZОтчет 15/1526;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 12/1527;400,00 руб.;1,00 шт.;400,00 руб.;196,27 руб.;203,73 руб.;103,8%
;ZОтчет 4/1541;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 9/2971;400,00 руб.;1,00 шт.;400,00 руб.;201,44 руб.;198,56 руб.;98,57%
