Отчет о продажах за период,,,,,,,
с 01.12.15 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Возврат товара,,,,"-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
,ZОтчет 16/1274,"110,50 руб.","1,00 шт.","110,50 руб.","80,55 руб.","29,95 руб.","37,18%"
,ZОтчет 4/1292/9069,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
,ZОтчет 13/1279,"130,00 руб.","1,00 шт.","130,00 руб.","80,55 руб.","49,45 руб.","61,39%"
,ZОтчет 16/1281,"110,50 руб.","1,00 шт.","110,50 руб.","80,55 руб.","29,95 руб.","37,18%"
,ZОтчет 2/1324/9270,"130,00 руб.","1,00 шт.","130,00 руб.","80,55 руб.","49,45 руб.","61,39%"
167683,"Калькулятор""Citizen SDC-011S"" 8разр.,дв.пит.","244,17 руб.","15,00 шт.","3 662,50 руб.","2 200,70 руб.","1 461,80 руб.","66,42%"
,ZОтчет 19/593,"250,00 руб.","1,00 шт.","250,00 руб.","146,48 руб.","103,52 руб.","70,67%"
,ZОтчет 12/1235,"250,00 руб.","1,00 шт.","250,00 руб.","146,48 руб.","103,52 руб.","70,67%"
,ZОтчет 9/2667,"250,00 руб.","1,00 шт.","250,00 руб.","155,59 руб.","94,41 руб.","60,68%"
,ZОтчет 16/1238,"250,00 руб.","1,00 шт.","250,00 руб.","155,59 руб.","94,41 руб.","60,68%"
,ZОтчет 2/1276/8418,"237,50 руб.","1,00 шт.","237,50 руб.","146,48 руб.","91,02 руб.","62,14%"
,ZОтчет 5/1263/8638,"250,00 руб.","1,00 шт.","250,00 руб.","146,48 руб.","103,52 руб.","70,67%"
,ZОтчет 5/1265/8684,"250,00 руб.","1,00 шт.","250,00 руб.","146,48 руб.","103,52 руб.","70,67%"
,ZОтчет 9/2688,"250,00 руб.","1,00 шт.","250,00 руб.","146,48 руб.","103,52 руб.","70,67%"
,ZОтчет 2/1292/8709,"237,50 руб.","1,00 шт.","237,50 руб.","132,80 руб.","104,70 руб.","78,84%"
,ZОтчет 8/1268/3048,"237,50 руб.","1,00 шт.","237,50 руб.","155,59 руб.","81,91 руб.","52,64%"
,ZОтчет 16/1266,"212,50 руб.","1,00 шт.","212,50 руб.","156,87 руб.","55,63 руб.","35,46%"
,ZОтчет 5/1274/8908,"237,50 руб.","1,00 шт.","237,50 руб.","156,87 руб.","80,63 руб.","51,4%"
,ZОтчет 2/1314/9085,"250,00 руб.","1,00 шт.","250,00 руб.","156,87 руб.","93,13 руб.","59,37%"
,ZОтчет 8/1290/3095,"250,00 руб.","1,00 шт.","250,00 руб.","155,59 руб.","94,41 руб.","60,68%"
,ZОтчет 11/1348,"250,00 руб.","1,00 шт.","250,00 руб.","96,05 руб.","153,95 руб.","160,28%"
179022,"Калькулятор""Citizen SDC-022S"" 10разр.,дв.пит.","265,00 руб.","11,00 шт.","2 915,00 руб.","1 737,78 руб.","1 177,22 руб.","67,74%"
,ZОтчет 20/1267,"265,00 руб.","1,00 шт.","265,00 руб.","149,94 руб.","115,06 руб.","76,74%"
,ZОтчет 15/1234,"265,00 руб.","2,00 шт.","530,00 руб.","320,94 руб.","209,06 руб.","65,14%"
,ZОтчет 12/1240,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 18/966,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 2/1278/8441,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 15/1254,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 5/1264/8657,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 2/1307/8960,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 15/1276,"265,00 руб.","1,00 шт.","265,00 руб.","166,68 руб.","98,32 руб.","58,99%"
,ZОтчет 18/1002,"265,00 руб.","1,00 шт.","265,00 руб.","166,68 руб.","98,32 руб.","58,99%"
179023,"Калькулятор""Citizen SDC-444S"" 12разр. дв.пит.","652,41 руб.","14,00 шт.","9 133,74 руб.","5 075,88 руб.","4 057,86 руб.","79,94%"
,ZОтчет 2/1272/8339,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
,ZОтчет 12/1241,"680,00 руб.","1,00 шт.","680,00 руб.","350,76 руб.","329,24 руб.","93,86%"
,ZОтчет 3/1234/8395,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
,ZОтчет 5/1251/8415,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
,ZОтчет 17/1131,"680,00 руб.","1,00 шт.","680,00 руб.","354,00 руб.","326,00 руб.","92,09%"
,ZОтчет 8/1260/3032,"646,00 руб.","1,00 шт.","646,00 руб.","360,00 руб.","286,00 руб.","79,44%"
,ZОтчет 18/981,"646,00 руб.","1,00 шт.","646,00 руб.","360,00 руб.","286,00 руб.","79,44%"
,ZОтчет 10/955,"680,00 руб.","1,00 шт.","680,00 руб.","360,00 руб.","320,00 руб.","88,89%"
,ZОтчет 18/983,"680,00 руб.","1,00 шт.","680,00 руб.","360,00 руб.","320,00 руб.","88,89%"
,ZОтчет 51#00000000000002924,"572,00 руб.","1,00 шт.","572,00 руб.","366,39 руб.","205,61 руб.","56,12%"
,ZОтчет 5/1277/8964,"578,00 руб.","1,00 шт.","578,00 руб.","366,39 руб.","211,61 руб.","57,76%"
,ZОтчет 51#00000000000002933,"571,74 руб.","1,00 шт.","571,74 руб.","366,39 руб.","205,35 руб.","56,05%"
,ZОтчет 9/2716,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
,ZОтчет 5/1292/9235,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
179024,"Калькулятор""Citizen SDC-554S"" 14разр.,дв.пит.","710,00 руб.","9,00 шт.","6 390,00 руб.","3 844,87 руб.","2 545,13 руб.","66,2%"
,ZОтчет 19/592,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 5/1251/8415,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 12/1245,"710,00 руб.","1,00 шт.","710,00 руб.","358,09 руб.","351,91 руб.","98,27%"
,ZОтчет 2/1286/8598,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 10/964,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 5/1285/9101,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 15/1288,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 2/1323/9246,"710,00 руб.","2,00 шт.","1 420,00 руб.","832,68 руб.","587,32 руб.","70,53%"
85314,"Калькулятор""Citizen SDC-620 II"" 12разр.","624,75 руб.","6,00 шт.","3 748,50 руб.","2 225,33 руб.","1 523,17 руб.","68,45%"
,ZОтчет 5/1240/8243,"630,00 руб.","1,00 шт.","630,00 руб.","364,62 руб.","265,38 руб.","72,78%"
,ZОтчет 2/1265/8212,"630,00 руб.","1,00 шт.","630,00 руб.","389,16 руб.","240,84 руб.","61,89%"
,ZОтчет 3/1234/8395,"630,00 руб.","1,00 шт.","630,00 руб.","389,16 руб.","240,84 руб.","61,89%"
,ZОтчет 11/1303,"598,50 руб.","1,00 шт.","598,50 руб.","343,90 руб.","254,60 руб.","74,03%"
,ZОтчет 10/948,"630,00 руб.","1,00 шт.","630,00 руб.","349,33 руб.","280,67 руб.","80,35%"
,ZОтчет 2/1290/8675,"630,00 руб.","1,00 шт.","630,00 руб.","389,16 руб.","240,84 руб.","61,89%"
19834,"Калькулятор""Citizen SDC-664S"" 16разр.","686,54 руб.","13,00 шт.","8 925,00 руб.","5 164,95 руб.","3 760,05 руб.","72,8%"
,ZОтчет 19/592,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 2/1268/8269,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 15/1246,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 11/1304,"700,00 руб.","1,00 шт.","700,00 руб.","373,67 руб.","326,33 руб.","87,33%"
,ZОтчет 15/1248,"700,00 руб.","1,00 шт.","700,00 руб.","439,02 руб.","260,98 руб.","59,45%"
,ZОтчет 9/2684,"665,00 руб.","1,00 шт.","665,00 руб.","372,32 руб.","292,68 руб.","78,61%"
,ZОтчет 16/1256,"665,00 руб.","1,00 шт.","665,00 руб.","372,32 руб.","292,68 руб.","78,61%"
,ZОтчет 2/1307/8960,"700,00 руб.","1,00 шт.","700,00 руб.","439,02 руб.","260,98 руб.","59,45%"
,ZОтчет 10/962,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 10/963,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 5/1285/9101,"595,00 руб.","1,00 шт.","595,00 руб.","383,77 руб.","211,23 руб.","55,04%"
,ZОтчет 10/971,"700,00 руб.","1,00 шт.","700,00 руб.","426,96 руб.","273,04 руб.","63,95%"
,ZОтчет 12/1291,"700,00 руб.","1,00 шт.","700,00 руб.","439,02 руб.","260,98 руб.","59,45%"
84545,"Калькулятор""Citizen SDC-805BN"" 8разр.","299,67 руб.","6,00 шт.","1 798,00 руб.","1 112,69 руб.","685,31 руб.","61,59%"
,ZОтчет 8/1240/2995,"310,00 руб.","1,00 шт.","310,00 руб.","178,92 руб.","131,08 руб.","73,26%"
,ZОтчет 2/1271/8320,"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
,ZОтчет 2/1304/8909,"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
,ZОтчет 16/1269,"263,50 руб.","1,00 шт.","263,50 руб.","190,89 руб.","72,61 руб.","38,04%"
,ZОтчет 15/1279,"294,50 руб.","1,00 шт.","294,50 руб.","185,72 руб.","108,78 руб.","58,57%"
,ZОтчет 15/1284,"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
85059,"Калькулятор""Citizen SDC-810BN"" 10разр.","322,95 руб.","20,00 шт.","6 459,00 руб.","3 981,60 руб.","2 477,40 руб.","62,22%"
,ZОтчет 12/1234,"330,00 руб.","1,00 шт.","330,00 руб.","185,85 руб.","144,15 руб.","77,56%"
,ZОтчет 15/1243,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 51#00000000000002909,"288,00 руб.","1,00 шт.","288,00 руб.","185,85 руб.","102,15 руб.","54,96%"
,ZОтчет 12/1246,"330,00 руб.","1,00 шт.","330,00 руб.","197,03 руб.","132,97 руб.","67,49%"
