Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
,ZОтчет 15/1284,"130,00 руб.","1,00 шт.","130,00 руб.","82,62 руб.","47,38 руб.","57,35%"
,ZОтчет 6/2700,"130,00 руб.","1,00 шт.","130,00 руб.","81,93 руб.","48,07 руб.","58,67%"
,ZОтчет 12/1291,"130,00 руб.","1,00 шт.","130,00 руб.","82,62 руб.","47,38 руб.","57,35%"
22418,"Калькулятор""Citizen SLD-200 N"" 8разр.","129,03 руб.","12,00 шт.","1 548,30 руб.","984,80 руб.","563,50 руб.","57,22%"
,ZОтчет 16/1265,"130,00 руб.","1,00 шт.","130,00 руб.","83,34 руб.","46,66 руб.","55,99%"
,ZОтчет 2/1304/8909,"130,00 руб.","2,00 шт.","260,00 руб.","166,68 руб.","93,32 руб.","55,99%"
,ZОтчет 51#00000000000002928,"124,80 руб.","1,00 шт.","124,80 руб.","79,52 руб.","45,28 руб.","56,94%"
,ZОтчет 3/1259/8931,"130,00 руб.","1,00 шт.","130,00 руб.","83,34 руб.","46,66 руб.","55,99%"
,ZОтчет 10/959,"130,00 руб.","1,00 шт.","130,00 руб.","79,52 руб.","50,48 руб.","63,48%"
,ZОтчет 5/1278/8978,"130,00 руб.","1,00 шт.","130,00 руб.","79,52 руб.","50,48 руб.","63,48%"
,ZОтчет 15/1274,"130,00 руб.","1,00 шт.","130,00 руб.","83,34 руб.","46,66 руб.","55,99%"
,ZОтчет 5/1284/9086,"123,50 руб.","1,00 шт.","123,50 руб.","83,34 руб.","40,16 руб.","48,19%"
,ZОтчет 16/1279,"130,00 руб.","1,00 шт.","130,00 руб.","83,34 руб.","46,66 руб.","55,99%"
,ZОтчет 3/1273/9176,"130,00 руб.","1,00 шт.","130,00 руб.","83,34 руб.","46,66 руб.","55,99%"
,ZОтчет 11/1345,"130,00 руб.","1,00 шт.","130,00 руб.","79,52 руб.","50,48 руб.","63,48%"
184121,"Калькулятор""Citizen SR-135N"" 10разр.","665,00 руб.","1,00 шт.","665,00 руб.","367,02 руб.","297,98 руб.","81,19%"
,ZОтчет 15/1279,"665,00 руб.","1,00 шт.","665,00 руб.","367,02 руб.","297,98 руб.","81,19%"
182572,"Калькулятор""Citizen SR-260NGR""","445,50 руб.","5,00 шт.","2 227,50 руб.","1 445,00 руб.","782,50 руб.","54,15%"
,ZОтчет 15/1275,"450,00 руб.","2,00 шт.","900,00 руб.","578,00 руб.","322,00 руб.","55,71%"
,ZОтчет 15/1281,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 11/1340,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 8/1286/3087,"427,50 руб.","1,00 шт.","427,50 руб.","289,00 руб.","138,50 руб.","47,92%"
182573,"Калькулятор""Citizen SR-260NOR"" 12разр.","450,00 руб.","5,00 шт.","2 250,00 руб.","1 445,00 руб.","805,00 руб.","55,71%"
,ZОтчет 15/1274,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 15/1279,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 15/1282,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 14/1277,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 8/1288/3091,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
182574,"Калькулятор""Citizen SR-260NPU"" 12разр.","436,50 руб.","5,00 шт.","2 182,50 руб.","1 447,94 руб.","734,56 руб.","50,73%"
,ZОтчет 15/1262,"427,50 руб.","1,00 шт.","427,50 руб.","289,00 руб.","138,50 руб.","47,92%"
,ZОтчет 15/1277,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 15/1281,"450,00 руб.","1,00 шт.","450,00 руб.","289,00 руб.","161,00 руб.","55,71%"
,ZОтчет 8/1286/3087,"427,50 руб.","1,00 шт.","427,50 руб.","291,94 руб.","135,56 руб.","46,43%"
,ZОтчет 18/1007,"427,50 руб.","1,00 шт.","427,50 руб.","289,00 руб.","138,50 руб.","47,92%"
184123,"Калькулятор""Citizen SRP-145N""","740,00 руб.","1,00 шт.","740,00 руб.","402,88 руб.","337,12 руб.","83,68%"
,ZОтчет 12/1275,"740,00 руб.","1,00 шт.","740,00 руб.","402,88 руб.","337,12 руб.","83,68%"
85518,"Калькулятор""Citizen SRP-265N"" инж. 10разр.","740,00 руб.","1,00 шт.","740,00 руб.","460,62 руб.","279,38 руб.","60,65%"
,ZОтчет 4/1297/9155,"740,00 руб.","1,00 шт.","740,00 руб.","460,62 руб.","279,38 руб.","60,65%"
Оптовая продажа,,,,"22 525,09 руб.","17 183,15 руб.","5 341,94 руб.","31,09%"
106053,"Калькулятор""Casio DH-12-BK-S-EH""","670,00 руб.","1,00 шт.","670,00 руб.","461,60 руб.","208,40 руб.","45,15%"
,Расходная накладная РН16-00341 (28.01.16),"670,00 руб.","1,00 шт.","670,00 руб.","461,60 руб.","208,40 руб.","45,15%"
87343,"Калькулятор""Casio GR-12-W-EH"" 12разр.","396,00 руб.","1,00 шт.","396,00 руб.","330,00 руб.","66,00 руб.",20%
,Расходная накладная РН16-00020 (13.01.16),"396,00 руб.","1,00 шт.","396,00 руб.","330,00 руб.","66,00 руб.",20%
20201,"Калькулятор""Citizen CTC-110BLWB"" 10разр. дв.пит.","216,00 руб.","1,00 шт.","216,00 руб.","180,00 руб.","36,00 руб.",20%
,Расходная накладная РН16-00439 (27.01.16),"216,00 руб.","1,00 шт.","216,00 руб.","180,00 руб.","36,00 руб.",20%
22415,"Калькулятор""Citizen LC-110N"" 8разр.","92,61 руб.","10,00 шт.","926,08 руб.","776,88 руб.","149,20 руб.","19,21%"
,Расходная накладная РН09-00027 (11.01.16),"90,25 руб.","3,00 шт.","270,75 руб.","235,44 руб.","35,31 руб.",15%
,Расходная накладная РН16-00350 (25.01.16),"90,25 руб.","1,00 шт.","90,25 руб.","70,56 руб.","19,69 руб.","27,91%"
,Расходная накладная РН16-00398 (26.01.16),"94,18 руб.","5,00 шт.","470,90 руб.","392,40 руб.","78,50 руб.","20,01%"
,Расходная накладная РН16-00439 (27.01.16),"94,18 руб.","1,00 шт.","94,18 руб.","78,48 руб.","15,70 руб.","20,01%"
33752,"Калькулятор""Citizen LC-210N""","96,17 руб.","9,00 шт.","865,51 руб.","710,19 руб.","155,32 руб.","21,87%"
,Расходная накладная РН16-00020 (13.01.16),"96,46 руб.","2,00 шт.","192,92 руб.","153,72 руб.","39,20 руб.","25,5%"
,Расходная накладная РН16-00350 (25.01.16),"92,63 руб.","1,00 шт.","92,63 руб.","76,86 руб.","15,77 руб.","20,52%"
,Расходная накладная РН16-00398 (26.01.16),"96,66 руб.","5,00 шт.","483,30 руб.","402,75 руб.","80,55 руб.",20%
